part_id,part_name,part_category,unit_cost,supplier
1,Thermostat - Difference,Capacitor,120.41,Delacruz-Flowers
2,Contactor - Military,Compressor,150.19,"Branch, Morris and Howard"
3,Thermostat - Follow,Refrigerant,35.03,King Inc
4,Thermostat - Billion,Thermostat,431.55,Johnson Ltd
5,Filter - Art,Fan Motor,341.79,Warren Group
6,Filter - School,Fan Motor,312.52,Morrison LLC
7,Valve - Above,Refrigerant,165.77,Roman LLC
8,Thermostat - Middle,Compressor,139.01,Miller-Odonnell
9,Thermostat - Moment,Thermostat,223.87,Brewer Group
10,Refrigerant - Add,Contactor,429.84,Williams PLC
11,Contactor - Build,Refrigerant,66.28,"Turner, Bishop and Taylor"
12,Coil - Appear,Fan Motor,116.96,Anderson Group
13,Valve - Animal,Thermostat,204.31,Johnson PLC
14,Ductwork - One,Filter,61.75,Bennett-Hill
15,Compressor - Today,Compressor,12.11,Stewart-Pierce
16,Compressor - Pattern,Compressor,439.3,Parker-Johnson
17,Capacitor - Natural,Filter,255.79,Carroll-Glenn
18,Capacitor - Letter,Valve,75.06,"Lopez, Acosta and Anderson"
19,Thermostat - Since,Refrigerant,216.55,Larsen PLC
20,Ductwork - Beautiful,Thermostat,118.32,Garner-Cook
21,Fan Motor - Or,Filter,47.69,"Wilson, Gomez and Fisher"
22,Ductwork - Perhaps,Contactor,124.82,"Garrett, Mcdonald and Diaz"
23,Contactor - This,Filter,365.04,Perry-Sanchez
24,Refrigerant - Pattern,Coil,21.76,Herman-Foster
25,Refrigerant - Window,Ductwork,176.55,"Spence, Wilson and Macdonald"
26,Valve - Ago,Valve,463.67,Garza-Medina
27,Contactor - Style,Fan Motor,492.47,Torres Inc
28,Thermostat - Behavior,Thermostat,357.51,"Brooks, Burns and Diaz"
29,Capacitor - Garden,Ductwork,342.33,Massey-Rodriguez
30,Contactor - Story,Capacitor,33.57,Morrison-Stout
31,Coil - Fly,Refrigerant,195.31,"Stokes, Barton and Kaufman"
32,Valve - Get,Filter,440.13,Cruz Ltd
33,Capacitor - Customer,Capacitor,435.48,Miller Inc
34,Filter - Price,Ductwork,385.63,Aguilar Ltd
35,Refrigerant - Red,Contactor,184.92,Arellano Inc
36,Refrigerant - Scene,Valve,327.48,Allison LLC
37,Refrigerant - Also,Capacitor,193.5,Reese-Robinson
38,Valve - Discuss,Filter,318.35,"Vargas, Mitchell and Johnson"
39,Ductwork - Example,Ductwork,76.54,Little-Davis
40,Capacitor - Itself,Refrigerant,226.1,Cannon-Cordova
41,Refrigerant - Need,Thermostat,48.8,Burton LLC
42,Thermostat - Down,Capacitor,371.27,Carey and Sons
43,Fan Motor - May,Refrigerant,302.01,"Hunter, Rogers and Ramirez"
44,Fan Motor - Write,Compressor,432.38,"Carroll, Parker and Johnson"
45,Filter - Worker,Valve,414.23,Garcia-Garcia
46,Coil - Raise,Filter,131.39,"Terry, Vargas and Johnson"
47,Fan Motor - Smile,Capacitor,427.56,Wilson Group
48,Fan Motor - Everybody,Fan Motor,146.43,"Curtis, Anderson and Mcdonald"
49,Ductwork - Term,Compressor,313.76,Foley-Johnson
50,Ductwork - Interest,Thermostat,293.58,Simmons PLC
51,Fan Motor - Identify,Refrigerant,475.12,"Bryant, Livingston and Beasley"
52,Compressor - Property,Fan Motor,16.3,"Baker, Ray and Davis"
53,Valve - Sign,Thermostat,161.56,Robinson Ltd
54,Compressor - Movie,Contactor,451.93,Lucas-Clark
55,Filter - Country,Capacitor,364.18,"Whitaker, Medina and Johnson"
56,Valve - Fine,Coil,133.78,Meyer LLC
57,Fan Motor - Something,Valve,110.27,"Young, Hernandez and Schneider"
58,Coil - Ahead,Refrigerant,106.07,Cox Ltd
59,Filter - Time,Contactor,484.41,"Ritter, Edwards and Manning"
60,Refrigerant - None,Compressor,169.2,Santiago Ltd
61,Thermostat - Wife,Thermostat,461.94,"Davies, Wood and Miller"
62,Valve - Sometimes,Thermostat,128.53,Ewing-Hogan
63,Thermostat - Talk,Ductwork,167.23,"Arnold, Olsen and Sullivan"
64,Refrigerant - Market,Compressor,207.7,Bryant LLC
65,Capacitor - Gun,Coil,80.51,Young LLC
66,Fan Motor - Might,Capacitor,167.09,Reyes PLC
67,Capacitor - Right,Compressor,293.1,Drake-Dalton
68,Ductwork - Happy,Compressor,166.14,"Watts, Thompson and Pierce"
69,Fan Motor - Order,Thermostat,99.94,Wilson-Medina
70,Coil - Report,Valve,130.56,"Howell, Bennett and Hernandez"
71,Fan Motor - Season,Compressor,356.41,"Cole, Massey and Morgan"
72,Valve - Couple,Coil,480.11,"Garcia, Ramirez and Dixon"
73,Ductwork - Wonder,Ductwork,499.94,"Cruz, Bowman and Johnson"
74,Ductwork - Spend,Contactor,79.41,Warner Group
75,Valve - Dream,Thermostat,175.97,Cortez-Cain
76,Coil - Line,Fan Motor,61.89,Manning and Sons
77,Ductwork - Thus,Fan Motor,10.93,Ramos LLC
78,Thermostat - Seek,Compressor,233.18,Armstrong Group
79,Coil - Piece,Coil,409.98,Colon Group
80,Refrigerant - Relationship,Contactor,491.83,Johnson PLC
81,Contactor - His,Ductwork,449.53,"Webb, Collins and Mosley"
82,Valve - Would,Capacitor,144.39,"West, Price and Jennings"
83,Thermostat - Out,Refrigerant,380.95,"Hayes, Flores and Mendez"
84,Fan Motor - Person,Contactor,487.54,"Salazar, Walker and Moore"
85,Compressor - Some,Compressor,450.98,Adams-Valencia
86,Thermostat - Phone,Fan Motor,339.54,Hanna and Sons
87,Capacitor - Best,Compressor,300.77,Torres PLC
88,Compressor - Painting,Thermostat,352.48,Caldwell PLC
89,Compressor - Dinner,Valve,149.57,"Garcia, Bowman and Torres"
90,Valve - Interesting,Fan Motor,281.21,"Ramirez, Pratt and Clark"
91,Refrigerant - Because,Valve,189.66,Garcia-Gutierrez
92,Thermostat - Conference,Coil,8.24,Jones-Parker
93,Filter - Information,Coil,290.35,Mendoza Inc
94,Thermostat - Note,Filter,454.81,Simmons LLC
95,Filter - Career,Capacitor,111.18,"Moreno, Walker and Gonzalez"
96,Coil - Sense,Refrigerant,327.29,"Hale, Rivera and Scott"
97,Valve - Know,Fan Motor,290.31,Spencer-Henderson
98,Compressor - Area,Thermostat,192.97,Hess-Fowler
99,Fan Motor - Word,Thermostat,291.67,Garcia LLC
100,Capacitor - Learn,Compressor,265.14,Wright LLC
101,Capacitor - Him,Contactor,407.34,"Mccall, Hensley and Cunningham"
102,Valve - Few,Fan Motor,164.48,Vargas-Owens
103,Contactor - Person,Valve,193.7,Shepherd-Horn
104,Contactor - Middle,Ductwork,97.33,Brown and Sons
105,Compressor - Represent,Fan Motor,110.91,Ramirez Group
