usage_id,service_call_id,part_id,quantity_used,usage_date
1,1,161,1,2025-02-03
2,2,34,2,2024-11-11
3,3,69,1,2025-04-29
4,3,83,5,2025-04-29
5,3,25,1,2025-04-29
6,4,13,1,2024-09-12
7,5,15,2,2025-05-01
8,5,162,4,2025-05-01
9,5,76,3,2025-05-01
10,5,137,3,2025-05-01
11,6,152,5,2025-05-09
12,6,121,3,2025-05-09
13,6,168,5,2025-05-09
14,7,177,4,2025-01-26
15,7,160,5,2025-01-26
16,8,86,1,2024-11-15
17,8,53,5,2024-11-15
18,8,154,4,2024-11-15
19,8,185,4,2024-11-15
20,9,115,2,2024-10-23
21,9,103,5,2024-10-23
22,9,77,5,2024-10-23
23,10,193,4,2025-07-09
24,10,144,4,2025-07-09
25,10,112,3,2025-07-09
26,10,142,2,2025-07-09
27,11,199,5,2025-04-09
28,11,31,3,2025-04-09
29,11,25,5,2025-04-09
30,12,54,5,2024-10-13
31,12,70,5,2024-10-13
32,12,120,3,2024-10-13
33,13,13,3,2025-02-16
34,13,66,5,2025-02-16
35,14,133,1,2025-01-08
36,15,125,1,2025-03-02
37,15,65,1,2025-03-02
38,15,132,2,2025-03-02
39,16,9,4,2025-01-05
40,16,174,4,2025-01-05
41,16,35,2,2025-01-05
42,17,74,3,2025-03-27
43,17,49,5,2025-03-27
44,18,44,2,2025-03-12
45,18,118,3,2025-03-12
46,18,3,5,2025-03-12
47,19,73,4,2024-10-08
48,19,137,3,2024-10-08
49,19,158,4,2024-10-08
50,21,113,2,2024-10-23
51,22,24,2,2024-08-02
52,22,8,4,2024-08-02
53,22,49,3,2024-08-02
54,23,145,5,2025-02-28
55,23,72,5,2025-02-28
56,23,78,1,2025-02-28
57,24,127,1,2024-09-02
58,24,89,5,2024-09-02
59,24,139,3,2024-09-02
60,24,148,1,2024-09-02
61,25,164,2,2025-05-31
62,27,52,3,2024-09-02
63,28,179,4,2025-06-28
64,28,82,2,2025-06-28
65,28,158,1,2025-06-28
66,30,166,1,2024-11-07
67,30,182,3,2024-11-07
68,30,171,2,2024-11-07
69,31,93,2,2025-02-27
70,31,103,4,2025-02-27
71,31,57,5,2025-02-27
72,31,118,3,2025-02-27
73,32,191,5,2024-11-07
74,32,172,4,2024-11-07
75,32,109,1,2024-11-07
76,33,12,2,2024-12-05
77,33,124,4,2024-12-05
78,33,95,2,2024-12-05
79,33,3,3,2024-12-05
80,35,48,5,2024-08-18
81,36,44,2,2024-07-28
82,36,71,1,2024-07-28
83,36,151,3,2024-07-28
84,36,47,1,2024-07-28
85,37,78,1,2025-05-08
86,37,7,5,2025-05-08
87,37,159,3,2025-05-08
88,39,28,2,2024-09-18
89,39,70,5,2024-09-18
90,39,121,3,2024-09-18
91,43,15,5,2024-10-01
92,43,194,3,2024-10-01
93,44,174,4,2025-04-10
94,44,40,3,2025-04-10
95,44,34,3,2025-04-10
96,44,21,2,2025-04-10
97,45,49,2,2025-07-16
98,45,128,1,2025-07-16
99,45,68,1,2025-07-16
100,46,127,4,2025-02-16
101,46,133,3,2025-02-16
102,46,88,1,2025-02-16
103,47,53,2,2024-08-27
104,47,115,4,2024-08-27
105,48,134,5,2024-08-20
106,48,135,4,2024-08-20
107,49,156,2,2025-05-02
108,49,71,4,2025-05-02
109,49,86,5,2025-05-02
110,50,33,4,2024-12-22
111,50,187,3,2024-12-22
112,50,30,4,2024-12-22
113,51,107,4,2024-08-09
114,51,105,1,2024-08-09
115,51,177,3,2024-08-09
