service_call_id,customer_id,technician_id,equipment_id,service_date,service_type,duration_hours,labor_cost,parts_cost,total_cost
1,372,12,28,2025-01-12,Maintenance,2.1,151.2,202.91,354.11
2,64,9,22,2024-10-16,Installation,2.5,240.0,21.86,261.86
3,457,4,35,2025-07-08,Repair,2.1,180.6,268.54,449.14
4,188,1,10,2025-02-10,Repair,2.0,198.0,200.43,398.43
5,315,4,28,2024-10-26,Emergency,7.0,595.0,181.51,776.51
6,374,1,40,2024-09-30,Inspection,4.2,352.8,32.13,384.93
7,183,7,40,2025-04-25,Emergency,7.3,416.1,251.56,667.6600000000001
8,313,6,3,2025-05-19,Maintenance,1.7,130.9,107.05,237.95
9,321,11,46,2024-12-08,Emergency,6.1,359.9,17.52,377.41999999999996
10,382,13,17,2025-05-11,Installation,2.9,214.6,183.42,398.02
11,139,12,32,2024-08-07,Installation,5.0,440.0,171.06,611.06
12,188,6,22,2025-01-19,Installation,1.1,90.2,78.77,168.97
13,417,10,46,2024-09-08,Maintenance,5.5,385.0,99.15,484.15
14,341,11,35,2025-05-30,Inspection,2.3,131.1,138.52,269.62
15,416,4,14,2024-09-22,Installation,2.3,156.4,56.37,212.77
16,3,5,45,2025-05-30,Maintenance,5.3,386.9,84.34,471.24
17,235,10,35,2025-01-14,Emergency,7.9,711.0,72.94,783.94
18,486,2,34,2024-11-12,Inspection,1.5,87.0,172.21,259.21000000000004
19,307,10,33,2025-06-04,Maintenance,3.9,230.1,43.48,273.58
20,266,15,2,2024-12-04,Repair,6.9,634.8,290.81,925.6099999999999
21,499,10,26,2025-07-27,Inspection,6.6,554.4,185.75,740.15
22,238,15,15,2024-10-16,Inspection,4.0,292.0,124.82,416.82
23,426,8,38,2025-02-20,Emergency,2.8,142.8,193.44,336.24
24,182,9,6,2024-11-24,Emergency,2.5,250.0,77.09,327.09000000000003
25,228,11,32,2025-07-20,Emergency,7.7,592.9,163.39,756.29
26,206,11,27,2024-12-26,Emergency,2.3,186.3,182.51,368.81
27,479,6,29,2025-02-09,Emergency,7.4,429.2,50.88,480.08
28,489,13,3,2025-03-26,Repair,3.2,320.0,239.62,559.62
29,129,9,22,2025-07-23,Inspection,5.7,518.7,32.44,551.1400000000001
30,115,1,7,2024-12-21,Emergency,3.1,201.5,9.56,211.06
31,115,14,27,2025-04-14,Maintenance,2.2,182.6,117.99,300.59
32,81,7,33,2024-10-21,Maintenance,4.0,308.0,264.31,572.31
33,70,15,16,2024-11-14,Emergency,5.4,378.0,15.29,393.29
34,35,5,1,2024-09-05,Inspection,1.8,129.6,76.7,206.3
35,222,2,48,2024-11-03,Emergency,6.9,600.3,267.53,867.8299999999999
36,388,9,23,2024-09-05,Maintenance,6.4,524.8,101.52,626.3199999999999
37,237,1,44,2025-06-24,Emergency,7.5,502.5,11.55,514.05
38,428,11,21,2024-10-23,Emergency,3.7,333.0,131.69,464.69
39,373,5,12,2025-04-05,Inspection,7.7,508.2,171.75,679.95
40,472,15,29,2025-02-24,Repair,7.8,522.6,178.48,701.08
41,63,10,7,2025-07-20,Repair,5.9,295.0,283.68,578.6800000000001
42,73,4,6,2025-05-03,Repair,5.1,448.8,241.63,690.4300000000001
43,216,1,11,2025-02-19,Repair,4.8,436.8,89.83,526.63
44,491,1,18,2024-12-11,Repair,4.5,418.5,268.08,686.5799999999999
45,238,7,18,2025-04-24,Inspection,7.7,623.7,225.72,849.4200000000001
46,408,2,43,2025-01-29,Inspection,3.6,273.6,133.37,406.97
47,79,11,32,2025-01-20,Emergency,2.0,122.0,19.23,141.23
48,86,6,8,2024-10-26,Inspection,6.6,627.0,60.13,687.13
49,36,10,33,2024-08-08,Repair,7.6,653.6,214.64,868.24
50,28,6,36,2024-08-27,Maintenance,3.8,288.8,230.45,519.25
51,327,15,12,2025-05-04,Maintenance,4.1,360.8,292.18,652.98
52,335,4,22,2024-10-03,Inspection,3.9,339.3,177.09,516.39
53,200,10,11,2025-03-23,Emergency,6.3,466.2,21.07,487.27
54,312,2,35,2024-11-26,Emergency,4.2,252.0,25.32,277.32
55,134,9,19,2025-04-02,Installation,6.6,396.0,185.96,581.96
56,27,1,35,2025-02-28,Inspection,1.9,102.6,263.76,366.36
57,365,4,28,2024-09-22,Maintenance,2.6,192.4,164.85,357.25
58,492,4,14,2025-02-27,Repair,6.5,572.0,24.22,596.22
59,115,11,21,2025-02-28,Installation,7.2,381.6,197.24,578.84
60,305,10,9,2024-09-06,Installation,2.8,187.6,168.87,356.47
61,235,7,2,2025-07-08,Maintenance,4.8,340.8,187.96,528.76
62,66,7,1,2025-04-07,Maintenance,2.9,205.9,96.69,302.59000000000003
63,229,1,47,2025-05-10,Repair,1.5,112.5,180.73,293.23
64,130,4,40,2025-04-27,Repair,7.6,448.4,254.66,703.06
65,372,12,3,2024-12-29,Inspection,5.7,313.5,165.9,479.4
66,377,13,5,2024-09-09,Emergency,1.3,128.7,194.09,322.78999999999996
67,231,13,21,2025-05-16,Emergency,1.1,110.0,26.86,136.86
68,475,2,35,2025-07-25,Inspection,1.9,153.9,160.64,314.53999999999996
69,101,10,46,2024-08-31,Repair,4.7,427.7,292.31,720.01
70,444,7,19,2025-07-13,Emergency,1.7,164.9,74.97,239.87
71,380,10,43,2024-09-08,Maintenance,4.9,343.0,26.51,369.51
72,60,1,48,2025-04-26,Repair,4.7,263.2,115.92,379.12
73,302,6,28,2025-02-03,Emergency,3.3,194.7,211.11,405.81
74,177,11,40,2025-05-01,Repair,6.1,341.6,255.86,597.46
75,419,8,35,2025-04-16,Repair,1.2,110.4,251.04,361.44
76,26,2,2,2024-11-05,Installation,1.3,92.3,27.24,119.53999999999999
77,499,12,30,2025-06-24,Inspection,8.0,560.0,194.78,754.78
78,193,10,41,2025-07-29,Repair,7.5,637.5,255.17,892.67
79,425,2,14,2025-05-02,Repair,6.8,421.6,37.99,459.59000000000003
80,189,15,27,2025-05-12,Repair,7.4,584.6,49.52,634.12
81,455,5,30,2024-12-09,Maintenance,2.7,143.1,78.2,221.3
82,411,7,39,2024-08-23,Inspection,7.5,615.0,206.9,821.9
